Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1976.01,856.810499760894,
1976.02,817.718440339116,
1976.03,795.97632841191,
1976.04,772.173748296418,
1976.05,1067.21471762434,
1976.06,1045.47831562799,
1976.07,1018.36528877042,
1976.08,992.748465048349,
1976.09,964.938334807408,
1976.10,937.859219846846,
1976.11,908.03943889438,
1976.12,888.721637093753,
1977.01,853.284779117503,
1977.02,823.5772972942,
1977.03,797.890186629838,
1977.04,768.908665263119,
1977.05,1063.85897459034,
1977.06,1041.72177467713,
1977.07,1016.27056451705,
1977.08,999.835648176766,
1977.09,984.180601493414,
1977.10,958.175829502734,
1977.11,926.098076022615,
1977.12,904.552302108114,
1978.01,872.129823076257,
1978.02,845.095622555145,
1978.03,818.619506169473,
1978.04,798.11937039844,
1978.05,1097.46094170258,
1978.06,1061.46065929794,
1978.07,1005.97126047349,
1978.08,976.356707790481,
1978.09,956.453759133562,
1978.10,930.348880188294,
1978.11,910.282011331736,
1978.12,891.959309398304,
1979.01,842.809184731016,
1979.02,819.347316311694,
1979.03,792.01133197243,
1979.04,765.596767623681,
1979.05,1093.8149614083,
1979.06,1061.95838079075,
1979.07,1007.94778266247,
1979.08,952.831480850462,
1979.09,893.772719604035,
1979.10,850.695055636686,
1979.11,1036.75963520074,
1979.12,992.055275198836,
1980.01,930.968072918401,
1980.02,893.88569731502,
1980.03,850.321482284429,
1980.04,810.988352039774,
1980.05,1087.30145050437,
1980.06,1030.38925193388,
1980.07,976.542302705597,
1980.08,928.740774302923,
1980.09,889.146459751736,
1980.10,810.931718092942,
1980.11,1047.21814092316,
1980.12,980.524529251234,
1981.01,923.198480733842,
1981.02,870.505085677934,
1981.03,826.271274108807,
1981.04,775.554525751015,
1981.05,1074.81786307829,
1981.06,1022.93959606578,
1981.07,963.20199576501,
1981.08,907.616374925362,
1981.09,862.134012642339,
1981.10,824.04981884739,
1981.11,1103.45981435564,
1981.12,1044.07814895552,
1982.01,978.392595492015,
1982.02,918.028002776112,
1982.03,872.329236624523,
1982.04,825.694130097789,
1982.05,1077.82785787893,
1982.06,1005.97435838597,
1982.07,945.537447847104,
1982.08,895.673447017255,
1982.09,858.712490188511,
1982.10,826.433515528544,
1982.11,1114.16618382891,
1982.12,1029.86882661857,
1983.01,943.582086549989,
1983.02,873.362345981347,
1983.03,814.54597808256,
1983.04,764.362507235567,
1983.05,1056.95025628195,
1983.06,953.640244956863,
1983.07,855.830840279312,
1983.08,779.112229354892,
1983.09,700.183458969985,
1983.10,635.972269662174,
1983.11,972.866043672167,
1983.12,897.942517502046,
1984.01,820.855832370162,
1984.02,748.022173371368,
1984.03,681.053798032729,
1984.04,621.827777734607,
1984.05,973.15025233265,
1984.06,884.990300250366,
1984.07,811.115240411458,
1984.08,747.087042951879,
1984.09,672.433628960686,
1984.10,608.585019835449,
1984.11,945.490897271953,
1984.12,847.048584556963,
1985.01,757.394987279874,
1985.02,682.655309827009,
1985.03,620.90860333067,
1985.04,571.823182492219,
1985.05,1066.80577515755,
1985.06,984.733022183542,
1985.07,894.591521619704,
1985.08,801.51458618652,
1985.09,728.07010228348,
1985.10,660.379376464995,
1985.11,1041.69842507577,
1985.12,899.952545657463,
1986.01,782.500703499107,
1986.02,695.744572173693,
1986.03,903.62024900176,
1986.04,899.751304160354,
1986.05,890.178557570704,
1986.06,881.666749204068,
1986.07,873.738385499969,
1986.08,861.411093291017,
1986.09,851.26728424001,
1986.10,839.249771643704,
1986.11,812.535062684922,
1986.12,757.498734274351,
1987.01,778.144457041412,
1987.02,682.922464084347,
1987.03,846.456236303039,
1987.04,699.787487725646,
1987.05,681.945555553103,
1987.06,674.631128734844,
1987.07,613.688623241077,
1987.08,583.993448663804,
1987.09,663.98529064638,
1987.10,658.713972408468,
1987.11,651.300449293042,
1987.12,685.76138540288,
1988.01,720.524262258833,
1988.02,729.997471660854,
1988.03,730.561578959439,
1988.04,718.315026143091,
1988.05,729.009100263811,
1988.06,709.502425875298,
1988.07,692.219683894671,
1988.08,717.157074388785,
1988.09,688.815117021897,
1988.10,679.627347881,
1988.11,689.214837144617,
1988.12,704.347896810416,
1989.01,699.283820281178,
1989.02,706.311865046498,
1989.03,666.961171152037,
1989.04,617.213803177604,
1989.05,673.907159551268,
1989.06,767.755068083882,
1989.07,752.287361531601,
1989.08,727.310910838737,
1989.09,689.943518272645,
1989.10,760.798719297192,
1989.11,748.147478370207,
1989.12,699.388854242802,
1990.01,677.393835253928,
1990.02,607.780455615595,
1990.03,611.525232386004,
1990.04,533.291385721482,
1990.05,496.963364963125,
1990.06,467.405166325282,
1990.07,527.667735219136,
1990.08,499.02185104484,
1990.09,508.324707340378,
1990.10,471.276537406327,
1990.11,522.547718188496,
1990.12,465.310473973433,
